epoch	loss	acc	val_loss	val_acc
0	1.705086	0.379525	1.399672	0.505900
1	1.330280	0.522875	1.223782	0.573000
2	1.182469	0.577500	1.052179	0.636700
3	1.092878	0.614400	1.000753	0.651200
4	1.025928	0.635525	0.963479	0.663900
5	0.974957	0.654100	0.897641	0.692000
6	0.917658	0.675050	0.892806	0.688400
7	0.885273	0.685900	0.860915	0.702000
8	0.841707	0.701350	0.840384	0.714200
9	0.808904	0.712750	0.804953	0.720600
10	0.779996	0.723925	0.789147	0.729200
11	0.748842	0.735200	0.796197	0.725500
12	0.728024	0.739400	0.781573	0.731300
13	0.699680	0.753025	0.790157	0.728400
14	0.669168	0.761975	0.752959	0.744400
15	0.650197	0.767900	0.751383	0.740300
16	0.630111	0.774575	0.767117	0.740100
17	0.603042	0.786125	0.739596	0.751600
18	0.589156	0.789250	0.758864	0.744300
19	0.561845	0.798975	0.740984	0.749600
20	0.545486	0.804225	0.775196	0.742400
21	0.526507	0.810150	0.764898	0.747800
22	0.517809	0.814425	0.772096	0.742600
23	0.505815	0.817950	0.753232	0.751700
24	0.489714	0.826025	0.763097	0.749900
25	0.477997	0.826750	0.766039	0.750300
26	0.458339	0.835925	0.772135	0.753200
27	0.452051	0.839525	0.749616	0.756900
28	0.439995	0.840400	0.781905	0.756700
29	0.433950	0.843950	0.767953	0.757900
30	0.420490	0.847350	0.784117	0.755600
31	0.416168	0.848825	0.773405	0.759000
32	0.400925	0.856700	0.801771	0.752200
33	0.397154	0.855850	0.779842	0.759500
34	0.381574	0.859600	0.802238	0.752000
35	0.380247	0.863300	0.809335	0.757500
36	0.377500	0.865200	0.792497	0.754100
37	0.364117	0.869500	0.821476	0.756400
38	0.367140	0.868225	0.814046	0.760900
39	0.354497	0.872550	0.790941	0.758400
40	0.342387	0.876350	0.809754	0.757700
41	0.342807	0.875875	0.817066	0.755500
42	0.336532	0.879700	0.824122	0.753000
43	0.331296	0.881475	0.834313	0.753500
44	0.319495	0.884975	0.842274	0.756000
45	0.323296	0.883825	0.821692	0.756500
46	0.316648	0.888300	0.836087	0.756100
47	0.314650	0.888025	0.848770	0.755100
48	0.309197	0.890475	0.843762	0.755800
49	0.308096	0.890575	0.847945	0.756200
50	0.296716	0.894425	0.882821	0.752200
51	0.294653	0.896700	0.863234	0.756000
52	0.290033	0.896525	0.863820	0.759400
53	0.293062	0.894650	0.864070	0.757300
54	0.289970	0.895400	0.905886	0.753100
55	0.282685	0.898725	0.895146	0.752500
56	0.281250	0.899225	0.876767	0.751900
57	0.281941	0.897675	0.870588	0.759700
58	0.268870	0.904725	0.880261	0.756700
59	0.270891	0.902050	0.883720	0.754500
60	0.269099	0.903275	0.883845	0.756500
61	0.271356	0.903675	0.873747	0.755800
62	0.263603	0.904750	0.909308	0.755700
63	0.261575	0.907225	0.902511	0.757300
64	0.257815	0.907075	0.955897	0.750000
65	0.257025	0.909600	0.900740	0.758800
66	0.256466	0.908000	0.916299	0.753800
67	0.255009	0.909125	0.935692	0.752400
68	0.257881	0.908075	0.957060	0.749800
69	0.249472	0.911250	0.914481	0.760300
70	0.249747	0.912200	0.925910	0.755600
71	0.252815	0.911125	0.918968	0.754900
72	0.245889	0.913350	0.942370	0.756700
73	0.252391	0.910750	0.922929	0.754000
74	0.242737	0.914900	0.943540	0.753700
75	0.238721	0.916200	0.984122	0.752600
76	0.238144	0.915175	0.950950	0.752200
77	0.234502	0.918475	0.939764	0.758100
78	0.230205	0.918975	0.973357	0.754800
79	0.229493	0.917900	0.969942	0.755400
80	0.231411	0.918275	0.949394	0.758500
81	0.230521	0.918375	0.942353	0.759800
82	0.227270	0.920400	0.975572	0.752500
83	0.228000	0.919700	0.966370	0.755600
84	0.226721	0.920050	0.945948	0.754200
85	0.224342	0.920850	0.986503	0.757500
86	0.224896	0.922425	0.992526	0.753400
87	0.220648	0.921750	0.993019	0.754900
88	0.221587	0.923575	0.975593	0.756800
89	0.212297	0.925850	1.002328	0.749000
90	0.211205	0.926200	0.991445	0.761200
91	0.212685	0.924200	0.998858	0.758300
92	0.209649	0.928675	0.954360	0.762500
93	0.217131	0.923475	1.002491	0.752400
94	0.214587	0.924875	0.998593	0.751200
95	0.211973	0.925750	0.964277	0.755900
96	0.217249	0.924550	0.962036	0.756600
97	0.210091	0.925250	0.980912	0.755000
98	0.203649	0.928625	0.994587	0.756800
99	0.205517	0.927925	0.985787	0.756100
100	0.205365	0.928375	0.969254	0.757100
101	0.205546	0.927475	0.966325	0.757600
102	0.203858	0.927850	0.987301	0.756600
103	0.198084	0.930550	0.999865	0.755600
104	0.197666	0.930925	0.997609	0.750100
105	0.203305	0.929700	1.012059	0.757300
106	0.196945	0.931200	0.995111	0.754400
107	0.193903	0.932450	1.016735	0.755500
108	0.201030	0.930975	1.019804	0.755400
109	0.189358	0.933450	1.015834	0.756200
110	0.195846	0.930600	1.048843	0.754500
111	0.194279	0.932300	1.012931	0.754300
112	0.191223	0.933275	1.020139	0.756500
113	0.203143	0.929575	0.994565	0.758300
114	0.184267	0.936125	1.024150	0.758000
115	0.191087	0.934000	1.031722	0.755200
116	0.197456	0.930825	1.023560	0.754600
117	0.193399	0.931925	1.025847	0.755700
118	0.191299	0.933125	1.020924	0.757500
119	0.182476	0.935300	1.039855	0.756500
120	0.187714	0.934800	1.031954	0.752800
121	0.189684	0.932450	1.050950	0.759500
122	0.185816	0.934725	1.026336	0.754400
123	0.188071	0.935300	1.027896	0.753500
124	0.181160	0.936225	1.036962	0.753100
125	0.188425	0.935000	1.004761	0.758700
126	0.189921	0.933925	1.042968	0.757600
127	0.178086	0.939100	1.017468	0.754800
128	0.179389	0.938875	1.054413	0.760000
129	0.175763	0.938950	1.045279	0.756100
130	0.181836	0.938050	1.026547	0.762200
131	0.184206	0.935800	1.046168	0.758900
132	0.183004	0.936425	1.050839	0.752000
133	0.175443	0.939325	1.043336	0.759500
134	0.181173	0.937950	1.052062	0.755500
135	0.176931	0.937325	1.030789	0.756600
136	0.176782	0.937700	1.046542	0.761300
137	0.179739	0.938125	1.058823	0.756100
138	0.175657	0.939275	1.051044	0.757600
139	0.175660	0.939425	1.023268	0.759400
140	0.171557	0.940075	1.046059	0.757600
141	0.171470	0.939775	1.040840	0.759700
142	0.175830	0.939425	1.034513	0.760700
